distanza_km,valore_merce_eur,peso_kg,fragile,numero_transiti,rischio_meteo,rischio_doganale,tracking_gps,modalità_trasporto,ritardo
910,131842,366,1,2,2,5,1,Strada,1
1344,265418,7835,0,1,5,1,0,Strada,1
1180,151033,655,0,0,4,3,0,Strada,1
1145,21044,624,0,2,4,5,0,Mare,1
1688,100372,1227,0,2,2,1,0,Ferrovia,1
2219,277850,3376,1,4,1,2,0,Strada,1
516,138046,3472,1,5,5,1,0,Ferrovia,1
1288,22213,2644,0,1,3,2,1,Mare,0
380,2950,2932,1,1,2,2,1,Strada,0
1532,255043,361,0,5,5,4,1,Strada,1
2185,217085,2905,1,0,2,4,1,Mare,1
180,273555,814,1,4,2,3,0,Mare,1
1735,149843,7886,0,1,3,5,0,Strada,1
819,298197,6327,0,2,5,3,0,Strada,1
2441,249966,3045,0,1,1,4,0,Aereo,1
1565,139117,3250,0,4,5,3,1,Strada,1
2483,30714,485,1,5,5,5,1,Aereo,1
1265,166458,3401,1,3,1,5,1,Strada,0
1005,271706,4503,0,5,3,1,1,Strada,1
2374,13026,3027,1,2,5,3,1,Strada,0
1234,107147,2980,1,1,1,4,0,Strada,1
509,32589,2349,0,5,2,1,0,Strada,0
71,109199,184,0,2,2,3,1,Strada,1
2350,289988,3964,0,0,1,5,1,Mare,1
797,209574,4668,1,2,2,4,0,Strada,1
524,215340,853,0,1,5,3,1,Mare,1
1132,55708,2757,0,0,1,5,0,Aereo,1
2097,71825,2416,1,0,5,5,0,Aereo,1
1025,52574,4225,1,0,4,3,0,Strada,0
1856,233409,3312,1,3,3,3,1,Mare,0
239,187381,1526,1,3,3,4,1,Mare,1
612,65230,3465,0,0,3,1,0,Strada,0
1949,255451,7247,1,5,1,5,0,Strada,1
1317,248174,2511,0,5,4,1,0,Strada,1
1578,220700,3992,0,5,3,1,0,Mare,1
696,288249,2090,1,1,5,5,0,Aereo,0
2118,247514,4513,0,0,3,3,0,Aereo,0
2264,265491,1056,0,5,4,5,0,Mare,1
1347,227094,7958,1,0,5,1,1,Strada,1
2485,149182,1042,1,2,5,4,0,Ferrovia,1
650,194242,4741,1,5,1,5,0,Mare,1
2413,183873,7719,0,2,1,4,1,Strada,1
2111,125926,7879,0,2,2,3,1,Aereo,1
